model,n_layers,dropout,test_auroc,test_auprc,test_accuracy,test_f1
LogReg (Morgan),,,0.6526391806722689,0.1829072460863131,0.8700787401574803,0.2235294117647059
GNN (best),2.0,0.2,0.6389180672268907,0.08947895979795267,,0.15821501014198783
