sweep,n_layers,dropout,hidden_dim,lr,weight_decay,val_auroc,val_auprc,val_f1,test_auroc,test_auprc,test_f1
n_layers,2,0.2,64,0.001,1e-05,0.6810057356275844,0.13550946013074414,0.1607843137254902,0.6389180672268907,0.08947895979795267,0.15821501014198783
n_layers,3,0.2,64,0.001,1e-05,0.678938241963452,0.12107039090223724,0.158004158004158,0.6506368172268907,0.09480238333304761,0.17154811715481172
n_layers,4,0.2,64,0.001,1e-05,0.6775210084033614,0.11257333224818097,0.16326530612244897,0.6454667804621849,0.0944125298949055,0.16610169491525423
