sweep,n_layers,dropout,hidden_dim,lr,weight_decay,val_auroc,val_auprc,val_f1,test_auroc,test_auprc,test_f1
dropout,3,0.0,64,0.001,1e-05,0.6494431105775644,0.11402381744262605,0.16161616161616163,0.5998555672268908,0.08110398709286744,0.13071895424836602
dropout,3,0.2,64,0.001,1e-05,0.6701180472188876,0.12991268899296132,0.14682539682539683,0.6295135241596639,0.0860982516378277,0.1544885177453027
dropout,3,0.4,64,0.001,1e-05,0.6621648659463786,0.1267643975113928,0.15458937198067632,0.6281348476890757,0.08518609340992302,0.1605351170568562
